Title,paper_ID,Authors & year,Language,Duplicates,,doi
When Does Informal Enforcement Work?,ENG00001,"Aakre, Helland, & Hovi (2016)",ENG,,15,10.1177/0022002714560349
Blood donation as a public good: an empirical investigation of the free rider problem,ENG00002,Abásolo & Tsuchiya (2014),ENG,,,10.1007/s10198-013-0496-x
The moral costs of nastiness,ENG00003,Abbink & Herrmann (2011),ENG,,,10.1111/j.1465-7295.2010.00309.x
The pleasure of being nasty,ENG00004,Abbink & Sadrieh (2009),ENG,,,10.1016/j.econlet.2009.08.024
Peer punishment promotes enforcement of bad social norms,ENG00005,"Abbink, Gangadharan, Handfield, & Thrasher (2017)",ENG,,,10.1038/s41467-017-00731-0
Group size and social ties in microfinance institutions,ENG00006,"Abbink, Irlenbusch & Renner (2006)",ENG,,,10.1093/ei/cbl001
"Fairness, public good, and emotional aspects of punishment behavior",ENG00007,"Abbink, Sadrieh & Zamir (2004)",ENG,,,10.1007/s11238-004-3672-8
The timing effect in public good games,ENG00008,Abele & Ehrhart (2005),ENG,,,10.1016/j.jesp.2004.09.004
Representative evidence on lying costs,ENG00009,"Abeler, Becker, & Falk (2014)",ENG,,,10.1016/j.jpubeco.2014.01.005
Evidential reasoning in the Prisoner's Dilemma,ENG00010,Acevedo & Krueger (2005),ENG,,,NA
Globalization and the retreat of citizen participation in collective action: A challenge for public administration,ENG00011,"Adres, Vashdi & Zalmanovitch (2016)",ENG,,,10.1111/puar.12424
"Cheap talk, efficiency and egalitarian cost sharing in joint projects",ENG00012,"Agastaya, Menezes & Sengupta (2007)",ENG,,,10.1016/j.geb.2006.09.005
"Group identity, social distance and intergroup bias",ENG00013,Ahmed (2007),ENG,,,10.1016/j.joep.2007.01.007
"Can education affect pro-social behavior? Cops, economists and humanists in social dilemmas",ENG00014,Ahmed (2008),ENG,,,10.1108/03068290810854565
Are Religious People More Prosocial? A Quasi-Experimental Study with Madrasah Pupils in a Rural Community in India,ENG00015,Ahmed (2009),ENG,,,10.1111/j.1468-5906.2009.01452.x
Trust in India and Sweden: An Experimental Examination of the Fukuyama Conjecture,ENG00016,Ahmed & Salas (2008),ENG,,,10.1177/1069397108322455
Implicit influences of Christian religious representations on dictator and prisoner's dilemma game decisions,ENG00017,Ahmed & Salas (2011),ENG,,,10.1016/j.socec.2010.12.013
"Religious Context and Prosociality: An Experimental Study from Valparaíso, Chile",ENG00018,Ahmed & Salas (2013),ENG,,,10.1111/jssr.12045
Reputation and cooperation in voluntary exchanges: Comparing local and central institutions,ENG00019,"Ahn, Esarey. & Scholz (2009)",ENG,,,10.1017/s0022381609090355
Coming and going: Experiments on endogenous group sizes for excludable public goods,ENG00020,"Ahn, Isaac & Salmon (2009)",ENG,,,10.1016/j.jpubeco.2008.06.007
Endogenous Group Formation via Unproductive Costs,ENG00021,"Aimone, Iannaccone, Makowsky & Rubin (2013)",ENG,,,10.1093/restud/rdt017
Attitudinal vs normative messages: An investigation of the differential effects of persuasive communications on behavior,ENG00022,Ajzen (1971),ENG,,,10.2307/2786416
The prediction of behavior from attitudinal and normative variables,ENG00023,Ajzen & Fishbein (1970),ENG,,,10.1016/0022-1031(70)90057-0
Trust and reciprocity among international groups: Experimental evidence from Austria and Japan,ENG00024,Akai & Jiro Netzer (2012),ENG,,,10.1016/j.socec.2011.08.028
Ostracism and Common Pool Resource Management in a Developing Country: Young Fishers in the Laboratory,ENG00025,Akpalu & Martinsson (2011),ENG,,,10.1093/jae/ejr034
Public disclosure for carbon abatement: African decision-makers in a PROPER public good experiment,ENG00026,"Akpalu, Abidoye, Muchapondwa, & Simbanegavi (2017)",ENG,,,10.1080/17565529.2016.1174664
Hierarchical Bayesian analysis of outcome- and process-based social preferences and beliefs in Dictator Games and sequential Prisoner's dilemmas,ENG00027,Aksoy & Weesie (2014),ENG,,,10.1016/j.ssresearch.2013.12.014
Average player traits as predictors of cooperation in a repeated prisoner's dilemma,ENG00028,"Al-Ubaydli, Jones, & Weel (2016)",ENG,,,10.1016/j.socec.2015.10.005
The effect of propensity to trust and familiarity on perceptions of trustworthiness over time,ENG00029,"Alarcon, Lyons, & Christensen (2016)",ENG,,,10.1016/j.paid.2016.01.031
The syntax of defection and cooperation: The effects of the implicit sentences 'nice act' versus 'act nice' on behavior change,ENG00030,"Albarracín, Noguchi & Fischler (2010)",ENG,,,10.1177/1948550610389823
Are we nice(r) to nice(r) people?—An experimental analysis,ENG00031,"Albert, Gueth, Kirchler & Maciejovsky (2007)",ENG,,,10.1007/s10683-006-9131-3
