from,to,Type,id,label,title,Weight
n2,n0,Directed,e0,,,1
n1,n0,Directed,e1,,,1
n5,n2,Directed,e2,,,1
n6,n2,Directed,e3,,,1
n4,n2,Directed,e4,,,1
n7,n2,Directed,e5,,,1
n0,n8,Directed,e6,hasAgent/hasTarget,hasAgent/hasTarget,1
n9,n16,Directed,e8,,,1
n10,n16,Directed,e9,,,1
n11,n16,Directed,e10,,,1
n13,n16,Directed,e11,,,1
n14,n8,Directed,e12,,,1
n15,n16,Directed,e13,,,1
n16,n8,Directed,e14,,,1
n18,n17,Directed,e15,,,1
n19,n17,Directed,e16,,,1
n20,n17,Directed,e17,,,1
n21,n17,Directed,e18,,,1
n22,n17,Directed,e19,,,1
n23,n17,Directed,e20,,,1
n24,n17,Directed,e21,,,1
n25,n26,Directed,e23,primingConcept,primingConcept,1
n17,n31,Directed,e24,,,1
n30,n31,Directed,e25,,,1
n29,n30,Directed,e26,hasMeasure,hasMeasure,1
n32,n8,Directed,e27,,,1
n34,n8,Directed,e29,,,1
n29,n8,Directed,e30,hasAgent/hasTarget,hasAgent/hasTarget,1
n35,n77,Directed,e32,hasIncentive,hasIncentive,1
n0,n37,Directed,e33,hasCommMedium,hasCommMedium,1
n38,n37,Directed,e34,,,1
n39,n37,Directed,e35,,,1
n40,n8,Directed,e36,hasAgent/hasTarget,hasAgent/hasTarget,1
n40,n146,Directed,e37,hasMeasure,hasMeasure,1
n42,n40,Directed,e39,,,1
n43,n40,Directed,e40,,,1
n44,n40,Directed,e41,,,1
n147,n146,Directed,e42,,,1
n148,n146,Directed,e43,,,1
n149,n146,Directed,e44,,,1
n150,n146,Directed,e45,,,1
n26,n48,Directed,e47,hasManipulationType,hasManipulationType,1
n46,n48,Directed,e48,,,1
n47,n48,Directed,e49,,,1
n25,n48,Directed,e50,,,1
n51,n50,Directed,e51,,,1
n52,n50,Directed,e52,,,1
n8,n50,Directed,e53,hasGenderRole,hasGenderRole,1
n8,n49,Directed,e55,hasGender,hasGender,1
n56,n25,Directed,e58,,,1
n57,n25,Directed,e59,,,1
n27,n48,Directed,e60,,,1
n14,n184,Directed,e61,isFormedBasedOn,isFormedBasedOn,1
n29,n48,Directed,e62,hasManipulationType,hasManipulationType,1
n59,n16,Directed,e64,,,1
