id,label,group,title
n21, S/T ratio,Game Structure, S/T ratio
n22, S/T ratio competitive,Game Structure, S/T ratio competitive
n115,1wordBelief,Features of the Person,1wordBelief
n226,Academic Grade,Features of the Person,Academic Grade
n139,Achievement,Features of the Person,Achievement
n93,Active Prosociality,Features of the Person,Active Prosociality
n136,Affect,Features of the Person,Affect
n140,Affiliation,Features of the Person,Affiliation
n8,Agent,Features of the Person,Agent
n105,Aggression,Features of the Person,Aggression
n85,Agreeableness,Features of the Person,Agreeableness
n198,Alternative Method,Game Structure,Alternative Method
n98,Altruism,Features of the Person,Altruism
n63,Anger,Features of the Person,Anger
n104,Antisocial Tendency,Features of the Person,Antisocial Tendency
n132,Anxiety,Features of the Person,Anxiety
n141,Approach,Features of the Person,Approach
n24,Average advantage of competition,Game Structure,Average advantage of competition
n138,Avoidance,Features of the Person,Avoidance
n20,b/c ratio,Game Structure,b/c ratio
n28,Baseline,Game Structure,Baseline
n44,Behavioural Trust,Features of the Person,Behavioural Trust
n113,Belief,Features of the Person,Belief
n216,Benevolence,Features of the Person,Benevolence
n84,BroadTrait,Features of the Person,BroadTrait
n51,Career-orented GenderRole,Features of the Person,Career-orented GenderRole
n119,Collectivism,Features of the Person,Collectivism
n0,Communication,Features of Decision,Communication
n37,Communication Medium,Features of Decision,Communication Medium
n107,Competitiveness,Features of the Person,Competitiveness
n59,Computer,Features of the Person,Computer
n39,Computer Mediated,Features of Decision,Computer Mediated
n196,Conceptual,Game Structure,Conceptual
n99,Concern ForOthers,Features of the Person,Concern ForOthers
n17,Conflict-/CooperationIndex,Game Structure,Conflict-/CooperationIndex
n222,Conformity,Features of the Person,Conformity
n86,Conscientiousness,Features of the Person,Conscientiousness
n68,Contempt,Features of the Person,Contempt
n171,Context Framing,Features of Decision,Context Framing
n163,Continuous PGG,Game Structure,Continuous PGG
n206,Control,Game Structure,Control
n81,Criticism,Game Structure,Criticism
n192,Delay Discounting,Game Structure,Delay Discounting
n202,Democratic Power,Game Structure,Democratic Power
n187,Dictator Game,Game Structure,Dictator Game
n229,Discount Consistency,Game Structure,Discount Consistency
n66,Disgust,Features of the Person,Disgust
n43,Dispositional Trust,Features of the Person,Dispositional Trust
n70,Embarassment,Features of the Person,Embarassment
n61,Emotion,Features of the Person,Emotion
n142,Emotional Intelligence,Features of the Person,Emotional Intelligence
n87,Emotionality,Features of the Person,Emotionality
n114,Empathy  (emotion),Features of the Person,Empathy  (emotion)
n100,Empathy (trait),Features of the Person,Empathy (trait)
n199,Endowment,Game Structure,Endowment
n106,Envy,Features of the Person,Envy
n231,Ex-post Communication,Features of Decision,Ex-post Communication
n204,Exogeneous Power,Game Structure,Exogeneous Power
n194,Experiencial,Game Structure,Experiencial
n15,Experimenter,Features of the Person,Experimenter
n181,External MPCR,Game Structure,External MPCR
n88,Extraversion,Features of the Person,Extraversion
n5,EyeComm,Features of Decision,EyeComm
n38,FaceToFace,Features of Decision,FaceToFace
n64,Fear,Features of the Person,Fear
n161,Feedback,Game Structure,Feedback
n92,FiveFactor Model,Features of the Person,FiveFactor Model
n34,Focal Agent,Features of the Person,Focal Agent
n169,FocalPoint Framing,Features of Decision,FocalPoint Framing
n102,Forgiveness,Features of the Person,Forgiveness
n168,Framing,Features of Decision,Framing
n75,Game,Game Structure,Game
n245,Game Structure,Game Structure,Game Structure
n6,GazeComm,Features of Decision,GazeComm
n49,Gender,Features of the Person,Gender
n50,GenderRole,Features of the Person,GenderRole
n109,Greed,Features of the Person,Greed
n209,GRIM,Game Structure,GRIM
n14,Group,Features of the Person,Group
n148,GSS,Study Setting,GSS
n62,Guilt,Features of the Person,Guilt
n117,Guilt proneness,Features of the Person,Guilt proneness
n67,Happiness,Features of the Person,Happiness
n220,Hedonism,Features of the Person,Hedonism
n151,HEXACO Model,Study Setting,HEXACO Model
n224,HoltLaury,Features of the Person,HoltLaury
n89,Honesty-humility,Features of the Person,Honesty-humility
