Source,Target,Type,Id,Label,timeset,Weight
10.1177/0022002714560349,10.1016/j.jpubeco.2008.06.007,Directed,64588,,,1
10.1177/0022002714560349,10.1016/S1574-0722(07)00082-0,Directed,64589,,,1
10.1177/0022002714560349,10.1515/9780691186702-011,Directed,64590,,,1
10.1177/0022002714560349,10.1002/0470024747,Directed,64591,,,1
10.1177/0022002714560349,10.1023/B:INEA.0000005767.67689.28,Directed,64592,,,1
10.1177/0022002714560349,10.1016/j.jeem.2005.03.002,Directed,64593,,,1
10.1177/0022002714560349,10.7551/mitpress/1264.001.0001,Directed,64594,,,1
10.1177/0022002714560349,10.1007/s10640-009-9264-x,Directed,64595,,,1
10.1177/0022002714560349,10.1017/S0020818300027910,Directed,64596,,,1
10.1177/0022002714560349,10.1007/s10640-012-9581-3,Directed,64597,,,1
10.1177/0022002714560349,10.1017/S0020818305050125,Directed,64598,,,1
10.1177/0022002714560349,10.1017/CBO9780511491320,Directed,64599,,,1
10.1177/0022002714560349,10.1561/102.00000011,Directed,64600,,,1
10.1177/0022002714560349,10.1111/ecca.12073,Directed,64601,,,1
10.1177/0022002714560349,10.1017/S0020818300033427,Directed,64602,,,1
10.1177/0022002714560349,10.1007/s12110-002-1012-7,Directed,64603,,,1
10.1177/0022002714560349,10.1257/aer.90.4.980,Directed,64604,,,1
10.1177/0022002714560349,10.1038/415137a,Directed,64605,,,1
10.1177/0022002714560349,10.1162/003355399556151,Directed,64606,,,1
10.1177/0022002714560349,10.1126/science.1123633,Directed,64607,,,1
10.1177/0022002714560349,10.1126/science.1153808,Directed,64608,,,1
10.1177/0022002714560349,10.1257/aer.99.4.1335,Directed,64609,,,1
10.1177/0022002714560349,10.1111/j.1468-2478.2011.00656.x,Directed,64610,,,1
10.1177/0022002714560349,10.1007/s11127-009-9468-1,Directed,64611,,,1
10.1177/0022002714560349,10.1093/oep/gpq023,Directed,64612,,,1
10.1177/0022002714560349,10.1257/jep.14.3.137,Directed,64613,,,1
10.1177/0022002714560349,10.2307/1964229,Directed,64614,,,1
10.1177/0022002714560349,10.2307/2010349,Directed,64615,,,1
10.1177/0022002714560349,10.4135/9781848608290.n28,Directed,64616,,,1
10.1177/0022002714560349,10.1111/j.0092-5853.2005.00112.x,Directed,64617,,,1
10.1177/0022002714560349,10.1162/002081802760199908,Directed,64618,,,1
10.1177/0022002714560349,10.1111/j.1468-2478.2011.00654.x,Directed,64619,,,1
10.1177/0022002714560349,10.1177/1354066198004001001,Directed,64620,,,1
10.1177/0022002714560349,10.1177/1354066110368144,Directed,64621,,,1
10.1007/s10198-013-0496-x,10.1086/466808,Directed,64622,,,1
10.1007/s10198-013-0496-x,10.1007/BF00137902,Directed,64623,,,1
10.1007/s10198-013-0496-x,10.1016/0047-2727(85)90038-6,Directed,64624,,,1
10.1007/s10198-013-0496-x,10.1086/226937,Directed,64625,,,1
10.1007/s10198-013-0496-x,10.1257/jep.2.3.187,Directed,64626,,,1
10.1007/s10198-013-0496-x,10.2307/2234133,Directed,64627,,,1
10.1007/s10198-013-0496-x,10.1016/0047-2727(81)90013-X,Directed,64628,,,1
10.1007/s10198-013-0496-x,10.1016/0047-2727(88)90043-6,Directed,64629,,,1
10.1007/s10198-013-0496-x,10.1016/S0047-2727(00)00157-2,Directed,64630,,,1
10.1007/s10198-013-0496-x,10.1016/j.jpubeco.2004.05.012,Directed,64631,,,1
10.1007/s10198-013-0496-x,10.1016/0167-4870(91)90044-T,Directed,64632,,,1
