"id","label","value"
"IV.AcquaintanceVariable.degreeOfFriendship","degree of friendship","2"
"IV.AcquaintanceVariable.relationshipWithFocalAgent","relationship with the partner","66"
"IV.AgeVariable.age","age","47"
"IV.AgeVariable.ageCohort","age cohort","24"
"IV.AnchorVariable.anchor","anchor","13"
"IV.Behavior_in_the_gameVariable.othersBehaviorCorr","partner's behavior (correlation)","17"
"IV.Behavior_in_the_gameVariable.othersBehaviorLevel","partner's behavior level","2"
"IV.Behavior_in_the_gameVariable.ownBehaviorLevel","participant's behavior level","20"
"IV.ChoicesVariable.exitOption","exit option","8"
"IV.ChoicesVariable.lowerChoiceRange","lowest choice option","17"
"IV.ChoicesVariable.nbOfChoices","number of choices","17"
"IV.ChoicesVariable.upperChoiceRange","highest choice option","17"
"IV.Cognitive_loadVariable.cognitiveLoadTreatment","cognitive load treatment","20"
"IV.CommunicationVariable.communicationContent","communication content","192"
"IV.CommunicationVariable.communicationOccurrence","communication occurrence","370"
"IV.CommunicationVariable.communicationOptional","optional communication","366"
"IV.CommunicationVariable.communicationReal","real communication","357"
"IV.CommunicationVariable.communicationTreatment","communication treatment","600"
"IV.CommunicationVariable.communicationType","communication type","372"
"IV.CommunicationVariable.restricted","restricted communication","371"
"IV.CriticalityVariable.criticalityLevel","criticality level","22"
"IV.CriticalityVariable.perceivedCriticality","perceived criticality","8"
"IV.EducationVariable.academicDiscipline","academic discipline","18"
"IV.EducationVariable.academicGrade","academic grade","3"
"IV.EducationVariable.academicGradeLevel","academic grade level","7"
"IV.EducationVariable.academicPerformance","academic performance","2"
"IV.EducationVariable.knowledgeOfExperimentalGames","knowledge of experimental games","14"
"IV.EducationVariable.knowledgeOfExperimentalGamesCorr","knowledge of experimental games (correlation)","1"
"IV.EducationVariable.student","student sample","77"
"IV.EmotionsVariable.emotion","emotion","131"
"IV.EmotionsVariable.emotionIntensity","emotion intensity","8"
"IV.EmotionsVariable.emotionManipulated","emotion manipulation","156"
"IV.EmotionsVariable.emotionValence","emotion valence","40"
"IV.EmotionsVariable.partnerEmotion","partner's emotion","20"
"IV.EmotionsVariable.partnerEmotionDisplay","partner's emotion display","25"
"IV.EmotionsVariable.partnerEmotionManipulated","partner's emotion manipulation","25"
"IV.EmotionsVariable.partnerEmotionValence","partner's emotion valence","5"
"IV.EthnicityVariable.ethnicityUS","ethnicity (us)","68"
"IV.EthnicityVariable.heterogeneousEthnicity","heterogeneous ethnicity","61"
