Id,publisher,paper_title,year,topic,country,game,community,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,eigencentrality,label_doi,Label
10.1177/0022002714560349,SAGE Publications,When Does Informal Enforcement Work?',2016,,,,28,0,34,34,0,34,34,0,"Aakre 2016, 10.1177/0022002714560349",Aakre 2016
10.1007/s10198-013-0496-x,Springer Science and Business Media LLC,Blood donation as a public good: an empirical investigation of the free rider problem',2013,,,,44,0,22,22,0,22,22,0,"Abásolo 2013, 10.1007/s10198-013-0496-x",Abásolo 2013
10.1111/j.1465-7295.2010.00309.x,Wiley,THE MORAL COSTS OF NASTINESS',2011,,,,18,0,10,10,0,10,10,0,"ABBINK 2011, 10.1111/j.1465-7295.2010.00309.x",ABBINK 2011
10.1038/s41467-017-00731-0,Springer Science and Business Media LLC,Peer punishment promotes enforcement of bad social norms',2017,,,,10,0,38,38,0,38,38,0,"Abbink 2017, 10.1038/s41467-017-00731-0",Abbink 2017
10.1007/s11238-004-3672-8,Springer Science and Business Media LLC,"Fairness, Public Good, and Emotional Aspects of Punishment Behavior'",2004,,,,26,0,21,21,0,21,21,0,"Abbink 2004, 10.1007/s11238-004-3672-8",Abbink 2004
10.1111/puar.12424,Wiley,Globalization and the Retreat of Citizen Participation in\u2009Collective Action: A Challenge for Public Administration',2015,,,,23,0,46,46,0,46,46,0,"Adres 2015, 10.1111/puar.12424",Adres 2015
10.1108/03068290810854565,Emerald,Can education affect pro‐social behavior?',2008,education IV,SWE,Prisoner-s-Dilemma,26,2,19,21,2,19,21,0.004399,"Ahmed 2008, 10.1108/03068290810854565",Ahmed 2008
10.1111/j.1468-5906.2009.01452.x,Wiley,Are Religious People More Prosocial? A Quasi-Experimental Study withMadrasahPupils in a Rural Community in India',2009,,,,23,2,19,21,2,19,21,0.00384,"Ahmed 2009, 10.1111/j.1468-5906.2009.01452.x",Ahmed 2009
10.1177/1069397108322455,SAGE Publications,Trust in India and Sweden',2008,,,,16,0,14,14,0,14,14,0,"Ahmed 2008, 10.1177/1069397108322455",Ahmed 2008
10.1111/jssr.12045,Wiley,"Religious Context and Prosociality: An Experimental Study from Valparaíso, Chile'",2013,,,,23,0,44,44,0,44,44,0,"Ahmed 2013, 10.1111/jssr.12045",Ahmed 2013
10.1093/restud/rdt017,Oxford University Press (OUP),Endogenous Group Formation via Unproductive Costs',2013,,,,20,0,46,46,0,46,46,0,"Aimone 2013, 10.1093/restud/rdt017",Aimone 2013
10.1093/jae/ejr034,Oxford University Press (OUP),Ostracism and Common Pool Resource Management in a Developing Country: Young Fishers in the Laboratory',2011,,,,26,1,35,36,1,35,36,0.001676,"Akpalu 2011, 10.1093/jae/ejr034",Akpalu 2011
10.1080/17565529.2016.1174664,Informa UK Limited,Public disclosure for carbon abatement: African decision-makers in a PROPER public good experiment',2016,,,,26,0,44,44,0,44,44,0,"Akpalu 2016, 10.1080/17565529.2016.1174664",Akpalu 2016
10.1177/1948550610389823,SAGE Publications,The Syntax of Defection and Cooperation',2010,,,,26,0,23,23,0,23,23,0,"Albarracín 2010, 10.1177/1948550610389823",Albarracín 2010
10.1007/s10683-006-9131-3,Springer Science and Business Media LLC,Are we nice(r) to nice(r) people?—An experimental analysis',2007,,,,28,0,19,19,0,19,19,0,"Albert 2007, 10.1007/s10683-006-9131-3",Albert 2007
10.1007/s11127-016-0321-z,Springer Science and Business Media LLC,Full agreement and the provision of threshold public goods',2016,,,,28,1,59,60,1,59,60,0.001676,"Alberti 2016, 10.1007/s11127-016-0321-z",Alberti 2016
10.1080/00207597508247320,Wiley,Motivation in an Asymmetric Bargaining Situation: A Cross-Cultural Study',1975,,,,47,0,14,14,0,14,14,0,"Alcock 1975, 10.1080/00207597508247320",Alcock 1975
10.1177/002200277702100304,SAGE Publications,Predisposition and Behaviour in a Collective Dilemma',1977,gender IV,CAN,Prisoner-s-Dilemma,44,4,12,16,4,12,16,0.033998,"Alcock 1977, 10.1177/002200277702100304",Alcock 1977
10.1126/science.1202599,American Association for the Advancement of Science (AAAS),Context Modularity of Human Altruism',2011,,,,10,0,15,15,0,15,15,0,"Alexander 2011, 10.1126/science.1202599",Alexander 2011
10.2466/pr0.1983.52.3.899,SAGE Publications,Follow-up Analysis of Use of Forewarning and Deception in Psychological Experiments',1983,,,,141,0,8,8,0,8,8,0,"Allen 1983, 10.2466/pr0.1983.52.3.899",Allen 1983
10.1111/j.1559-1816.1985.tb00896.x,Wiley,Effects of Soliciting Opinions on Contributions to a Public Good1',1985,,,,44,0,12,12,0,12,12,0,"Allison 1985, 10.1111/j.1559-1816.1985.tb00896.x",Allison 1985
10.1007/s10683-007-9194-9,Springer Science and Business Media LLC,Does context matter more for hypothetical than\xa0for\xa0actual contributions? Evidence from a natural field experiment',2008,,,,28,1,30,31,1,30,31,0.001676,"Alpizar 2008, 10.1007/s10683-007-9194-9",Alpizar 2008
10.1017/S1355770X14000485,Cambridge University Press (CUP),Do entrance fees crowd out donations for public goods? Evidence from a protected area in Costa Rica',2014,,,,26,0,26,26,0,26,26,0,"Alpízar 2014, 10.1017/S1355770X14000485",Alpízar 2014
10.1007/s11149-016-9296-4,Springer Science and Business Media LLC,Environmental management systems and compliance at small and lightly regulated facilities: evidence from the New Hampshire hazardous waste program',2016,agent IV,USA,ContinuousPGD,142,0,20,20,0,20,20,0,"Stafford 2016, 10.1007/s11149-016-9296-4",Stafford 2016
10.1007/s10683-012-9327-7,Springer Science and Business Media LLC,Self-selection and variations in the laboratory measurement of other-regarding preferences across subject pools: evidence from one college student and two adult samples',2012,,,,26,0,28,28,0,28,28,0,"Anderson 2012, 10.1007/s10683-012-9327-7",Anderson 2012
10.1007/s10683-011-9274-8,Springer Science and Business Media LLC,Measuring altruism in a public goods experiment: a\xa0comparison of U.S. and Czech subjects',2011,,,,26,0,18,18,0,18,18,0,"Anderson 2011, 10.1007/s10683-011-9274-8",Anderson 2011
10.1007/s10683-014-9392-1,Springer Science and Business Media LLC,Gunning for efficiency with third party enforcement in threshold public goods',2014,agent IV,USA,Step-levelPGD,26,1,28,29,1,28,29,0.001676,"Andreoni 2014, 10.1007/s10683-014-9392-1",Andreoni 2014
10.1073/pnas.96.19.10933,Proceedings of the National Academy of Sciences,"""Preplay contracting in the Prisoners' Dilemma""",1999,communication IV,USA,Prisoner-s-Dilemma,28,1,14,15,1,14,15,0.001676,"Andreoni 1999, 10.1073/pnas.96.19.10933",Andreoni 1999
10.3389/fnbeh.2016.00053,Frontiers Media SA,"Counter-Punishment, Communication, and Cooperation among Partners'",2016,,,,26,0,40,40,0,40,40,0,"Andrighetto 2016, 10.3389/fnbeh.2016.00053",Andrighetto 2016
10.1177/000312240507000307,SAGE Publications,"Cooperation in Microcredit Borrowing Groups: Identity, Sanctions, and Reciprocity in the Production of Collective Goods'",2005,,,,16,0,64,64,0,64,64,0,"Anthony 2005, 10.1177/000312240507000307",Anthony 2005
10.1038/srep27160,Springer Science and Business Media LLC,Cooperation Survives and Cheating Pays in a Dynamic Network Structure with Unreliable Reputation',2016,,,,10,0,36,36,0,36,36,0,"Antonioni 2016, 10.1038/srep27160",Antonioni 2016
10.1177/0022002706290433,SAGE Publications,The Role of Rivalry',2006,,,,26,3,47,50,3,47,50,0.008805,"Apesteguia 2006, 10.1177/0022002706290433",Apesteguia 2006
10.1177/1059601198234004,SAGE Publications,A Social Dilemma Perspective on Cooperative Behavior in Organizations',1998,,,,44,4,37,41,4,37,41,0.008797,"Aquino 1998, 10.1177/1059601198234004",Aquino 1998
10.1177/0022002792036004003,SAGE Publications,"The Effects of Resource Distribution, Voice, and Decision Framing on the Provision of Public Goods'",1992,,,,44,12,30,42,12,30,42,0.062842,"Aquino 1992, 10.1177/0022002792036004003",Aquino 1992
10.3758/BF03331202,Springer Science and Business Media LLC,Original stakes and behavior in the prisoner’s dilemma game',1968,,,,47,4,3,7,4,3,7,0.011145,"Aranoff 1968, 10.3758/BF03331202",Aranoff 1968
10.3390/g9010005,MDPI AG,Examining Spillovers between Long and Short Repeated Prisoner’s Dilemma Games Played in the Laboratory',2018,,,,10,0,25,25,0,25,25,0,"Arechar 2018, 10.3390/g9010005",Arechar 2018
10.1007/s40881-017-0035-0,Springer Science and Business Media LLC,Turking overtime: how participant characteristics and behavior vary over time and day on Amazon Mechanical Turk',2017,,,,10,0,17,17,0,17,17,0,"Arechar 2017, 10.1007/s40881-017-0035-0",Arechar 2017
10.1002/smj.740,Wiley,Reputation for cooperation: contingent benefits in alliance activity',2009,,,,29,0,36,36,0,36,36,0,"Arend 2009, 10.1002/smj.740",Arend 2009
10.1177/104649647700800404,SAGE Publications,"""An Empirical Test of Schutz' Three-Dimensional Theory of Group Process in Adolescent Dyads""",1977,,,,47,0,8,8,0,8,8,0,"Armstrong 1977, 10.1177/104649647700800404",Armstrong 1977
10.1002/bdm.1892,Wiley,Acting for the Greater Good: Identification with Group Determines Choices in Sequential Contribution Dilemmas',2015,identification IV,USA,Step-levelPGD,44,0,42,42,0,42,42,0,"Arora 2015, 10.1002/bdm.1892",Arora 2015
10.1002/bdm.1880,Wiley,Cautious Defection: Group Representatives Cooperate and Risk Less than Individuals',2015,expectations IV,USA,Prisoner-s-Dilemma,50,0,24,24,0,24,24,0,"Atanasov 2015, 10.1002/bdm.1880",Atanasov 2015
10.1111/j.1475-5890.2009.00092.x,Wiley,Building Trust? Conditional Cash Transfer Programmes and Social Capital',2009,,,,26,0,22,22,0,22,22,0,"Attanasio 2009, 10.1111/j.1475-5890.2009.00092.x",Attanasio 2009
10.1007/s10726-006-9067-1,Springer Science and Business Media LLC,Effect of Order of Contribution in a Sequential Public Goods Dilemma',2006,,,,44,1,20,21,1,20,21,0.001676,"Au 2006, 10.1007/s10726-006-9067-1",Au 2006
10.1002/bdm.419,Wiley,"""Effects of initial choices in the prisoner's dilemma""",2002,strategy IV,USA,Prisoner-s-Dilemma,18,1,21,22,1,21,22,0.001676,"Tung Au 2002, 10.1002/bdm.419",Tung Au 2002
10.1177/13684302030063004,SAGE Publications,Effects of Group Size Uncertainty and Protocol of Play in a Common Pool                Resource Dilemma',2003,,,,44,5,55,60,5,55,60,0.01282,"Au 2003, 10.1177/13684302030063004",Au 2003
10.1002/bdm.743,Wiley,"""Risk and Prisoner's Dilemma: A Reinterpretation of Coombs' Re-parameterization""",2011,individual differenences IV,CHN,Prisoner-s-Dilemma,29,1,18,19,1,18,19,0.001676,"Au 2011, 10.1002/bdm.743",Au 2011
10.1111/ecin.12105,Wiley,COMPETITION AND COOPERATION IN A PUBLIC GOODS GAME: A FIELD EXPERIMENT',2014,,,,26,0,28,28,0,28,28,0,"Augenblick 2014, 10.1111/ecin.12105",Augenblick 2014
10.1002/(SICI)1099-0992(199908/09)29:5/6<815::AID-EJSP967>3.0.CO;2-Z,Wiley,Intragroup social influence processes in intergroup behavior',1999,,,,50,0,1,1,0,1,1,0,"Van Avermaet 1999, 10.1002/(SICI)1099-0992(199908/09)29:5/6<815::AID-EJSP967>3.0.CO;2-Z",Van Avermaet 1999
10.1177/002200278002400101,SAGE Publications,"""Effective Choice in the Prisoner's Dilemma""",1980,,,,18,13,16,29,13,16,29,0.057071,"Axelrod 1980, 10.1177/002200278002400101",Axelrod 1980
10.1177/002200278002400301,SAGE Publications,"""More Effective Choice in the Prisoner's Dilemma""",1980,,,,47,13,6,19,15,6,21,0.046357,"Axelrod 1980, 10.1177/002200278002400301",Axelrod 1980
