Id,Label,timeset,paper,authors,iv,country,year,game,community,indegree,outdegree,Degree
10.2139/ssrn.203288,"Fehr, Fischbacher, G�chter",,https://data.cooperationdatabank.org/id/ENG00868,"Fehr, Fischbacher, G�chter",Preferences for Conditional Cooperation-related independent variables,CHE,2000,Public Goods Game,131,286,4,290
10.1177/1046496411419016,"Pinter, Wildschut",,https://data.cooperationdatabank.org/id/ENG01920,"Pinter, Wildschut","Gender-related independent variables, Intergroup Competition -related independent variables, Personality-related independent variables",USA,2012,Prisoner's Dilemma Game,134,3,7,10
10.1016/j.jpubeco.2012.08.003,"Andreoni,Gee",,https://data.cooperationdatabank.org/id/ENG00068,"Andreoni,Gee","Institutional Choice-related independent variables, Punishment-related independent variables",USA,2011,Public Goods Game,17,23,22,45
10.1038/s41467-017-00731-0,"Abbink, Gangadharan, Handfield, Thrasher",,https://data.cooperationdatabank.org/id/ENG00005,"Abbink, Gangadharan, Handfield, Thrasher","PGG-related independent variables, Punishment-related independent variables",AUS,2016,Public Goods Game,17,0,8,8
10.1037//0022-3514.62.4.607,"Komorita,Parks,Hulbert",,https://data.cooperationdatabank.org/id/ENG01385,"Komorita,Parks,Hulbert","Incentives-related independent variables, Partner(s)' strategies-related independent variables, Period-related independent variables",USA,1991,Public Goods Game,0,0,0,0
10.1111/j.1559-1816.2002.tb00252.x,De Cremer,,https://data.cooperationdatabank.org/id/ENG00627,De Cremer,"Leadership-related independent variables, Personality-related independent variables",NLD,2002,Public Goods Game,23,10,19,29
10.1016/j.jebo.2015.02.007,"Belot, Duch, Miller",,https://data.cooperationdatabank.org/id/ENG00187,"Belot, Duch, Miller",Education-related independent variables,GBR,2012,Public Goods Game,137,2,6,8
10.1007/s00355-017-1036-x,"Liu, Riyanto",,https://data.cooperationdatabank.org/id/ENG01520,"Liu, Riyanto",Game Type-related independent variables,SGP,2012,Public Goods Game,131,0,5,5
10.1016/0167-2681(94)00073-n,"Laury, Walker, Williams",,https://data.cooperationdatabank.org/id/ENG01454,"Laury, Walker, Williams","Education-related independent variables, Reputation-related independent variables",USA,1993,Public Goods Game,1,0,0,0
10.1177/1091142104267064,"Jones, Mckee",,https://data.cooperationdatabank.org/id/ENG01253,"Jones, Mckee","Feedback-related independent variables, Group Size-related independent variables",USA,2004,Public Goods Game,131,0,8,8
10.1098/rspb.2014.0417,Lamba,,https://data.cooperationdatabank.org/id/ENG01441,Lamba,Period-related independent variables,IND,2008,Public Goods Game,137,2,2,4
10.1007/s12369-015-0323-x,"Bartneck, Brandstetter, Obaid, Sandoval",,https://data.cooperationdatabank.org/id/ENG02103,"Bartneck, Brandstetter, Obaid, Sandoval","Partner type-related independent variables, Partner(s)' strategies-related independent variables, Personality-related independent variables",NZL,2015,Prisoner's Dilemma Game,37,0,7,7
10.1037/e616352011-041,"Chuah, Hoffmann",,https://data.cooperationdatabank.org/id/ENG00506,"Chuah, Hoffmann","Identification-related independent variables, Personality-related independent variables",MYS,2013,Prisoner's Dilemma Game,2,0,0,0
10.1177/002200277301700407,"Fox, Guyer, Hamburger",,https://data.cooperationdatabank.org/id/ENG01072,"Fox, Guyer, Hamburger",Framing-related independent variables,USA,1973,Prisoner's Dilemma Game,133,0,5,5
10.1023/A:1020317321607,"Cason, Saijo, Yamato",,https://data.cooperationdatabank.org/id/ENG00449,"Cason, Saijo, Yamato",Ethnicity-related independent variables,"JPN, USA",2002,Other,131,15,6,21
10.1016/j.geb.2014.05.002,"Charness, Cobo-Reyes, Jiménez",,https://data.cooperationdatabank.org/id/ENG00470,"Charness, Cobo-Reyes, Jiménez","Identification-related independent variables, PGG-related independent variables, Symmetry-related independent variables",ESP,2013,Public Goods Game,10,1,12,13
